2025-03-15 04:10:51,984 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-03-15 04:10:54,246 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-03-15 04:10:54,246 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-03-15 04:10:54,411 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 152 ms. Found 1 JPA repository interface.
2025-03-15 04:10:54,416 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-03-15 04:10:54,416 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-03-15 04:10:54,457 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 40 ms. Found 6 JPA repository interfaces.
2025-03-15 04:10:54,459 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-03-15 04:10:54,459 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-03-15 04:10:54,777 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 317 ms. Found 53 JPA repository interfaces.
2025-03-15 04:10:54,778 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-03-15 04:10:54,778 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in LAZY mode.
2025-03-15 04:10:54,797 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 1 JPA repository interface.
2025-03-15 04:10:55,864 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
2025-03-15 04:10:55,878 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
2025-03-15 04:10:57,325 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
2025-03-15 04:10:57,340 [main] INFO  o.a.coyote.http11.Http11NioProtocol - The ["http-nio-0.0.0.0-9090"] connector has been configured to support HTTP upgrade to [h2c]
2025-03-15 04:10:57,341 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-9090"]
2025-03-15 04:10:57,344 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-15 04:10:57,344 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2025-03-15 04:10:57,410 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-15 04:10:57,410 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5264 ms
2025-03-15 04:10:58,048 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-15 04:10:58,170 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.10.Final
2025-03-15 04:10:58,239 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-03-15 04:10:58,406 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-03-15 04:10:58,518 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@270a3cef
2025-03-15 04:10:58,528 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-03-15 04:10:59,355 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-03-15 04:11:02,176 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-03-15 04:11:02,191 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-15 04:11:04,422 [main] INFO  o.t.s.d.a.CachedAttributesService - Going to use directExecutor for the local cache type caffeine
2025-03-15 04:11:06,611 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [public/index.html]
2025-03-15 04:11:10,179 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2ff0f24, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3d5841c7, org.springframework.security.web.context.SecurityContextHolderFilter@45ab982c, org.springframework.security.web.header.HeaderWriterFilter@5c3e3f24, org.springframework.security.web.csrf.CsrfFilter@fe23e35, org.springframework.security.web.authentication.logout.LogoutFilter@283f20ea, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@7d0e257f, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@5e588217, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@5d336403, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@4904144d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@55a42882, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@d1171ec, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@36cae6ee, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@740bdef3, org.springframework.security.oauth2.client.web.OAuth2AuthorizationCodeGrantFilter@1793de2d, org.springframework.security.web.access.ExceptionTranslationFilter@12924b88, org.springframework.security.web.access.intercept.AuthorizationFilter@2b899cb7]
2025-03-15 04:11:10,580 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2025-03-15 04:11:11,488 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - Adding {logging-channel-adapter:_org.springframework.integration.errorLogger} as a subscriber to the 'errorChannel' channel
2025-03-15 04:11:11,489 [main] INFO  o.s.i.c.PublishSubscribeChannel - Channel 'application.errorChannel' has 1 subscriber(s).
2025-03-15 04:11:11,490 [main] INFO  o.s.i.endpoint.EventDrivenConsumer - started bean '_org.springframework.integration.errorLogger'
2025-03-15 04:11:11,535 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-9090"]
2025-03-15 04:11:11,569 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path ''
2025-03-15 04:11:11,690 [main] INFO  o.t.s.i.ThingsboardInstallService - Starting ThingsBoard Installation...
2025-03-15 04:11:11,691 [main] INFO  o.t.s.i.ThingsboardInstallService - Installing DataBase schema for entities...
2025-03-15 04:11:11,691 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Installing SQL DataBase schema part: schema-entities.sql
2025-03-15 04:11:12,199 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Installing SQL DataBase schema indexes part: schema-entities-idx.sql
2025-03-15 04:11:12,345 [main] INFO  o.t.s.s.i.SqlEntityDatabaseSchemaService - Installing SQL DataBase schema PostgreSQL specific indexes part: schema-entities-idx-psql-addon.sql
2025-03-15 04:11:12,383 [main] INFO  o.t.s.s.i.SqlEntityDatabaseSchemaService - Installing SQL DataBase schema views and functions: schema-views-and-functions.sql
2025-03-15 04:11:12,426 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Successfully executed query: DROP VIEW IF EXISTS device_info_view CASCADE;
2025-03-15 04:11:17,462 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Successfully executed query: CREATE OR REPLACE VIEW device_info_view AS SELECT * FROM device_info_active_attribute_view;
2025-03-15 04:11:22,462 [main] INFO  o.t.s.i.ThingsboardInstallService - Installing DataBase schema for timeseries...
2025-03-15 04:11:22,463 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Installing SQL DataBase schema part: schema-ts-psql.sql
2025-03-15 04:11:22,513 [main] INFO  o.t.s.s.i.SqlAbstractDatabaseSchemaService - Successfully executed query: CREATE TABLE IF NOT EXISTS ts_kv_indefinite PARTITION OF ts_kv DEFAULT;
2025-03-15 04:11:27,513 [main] INFO  o.t.s.i.ThingsboardInstallService - Loading system data...
2025-03-15 04:11:28,042 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-03-15 04:11:29,634 [main] INFO  c.d.oss.driver.api.core.uuid.Uuids - PID obtained through JMX: 50
2025-03-15 04:11:30,996 [main] INFO  org.owasp.validator.html.Policy - Attempting to load AntiSamy policy from an input stream.
2025-03-15 04:11:31,112 [main] WARN  org.owasp.validator.html.Policy - The directive "noopenerAndNoreferrerAnchors" is enabled by default, but disabled in this policy. It is recommended to leave it enabled to prevent reverse tabnabbing attacks.
2025-03-15 04:11:31,862 [main] INFO  o.t.s.s.i.DefaultSystemDataLoaderService - Creating JWT admin settings...
2025-03-15 04:11:31,870 [main] INFO  o.t.s.s.s.a.j.s.DefaultJwtSettingsService - Saving new JWT admin settings. From this moment, the JWT parameters from YAML and ENV will be ignored
2025-03-15 04:11:31,891 [main] INFO  o.t.s.service.install.InstallScripts - Loading system widgets
